scan text;cat
Übertrag/ Überweisung Auftraggeber: Buchungstext: Lohn/Gehalt ;"Lohn / Gehalt"
Übertrag/ Überweisung Auftraggeber: Finanzamt;"Steuern &
Abgaben"
Kreditkartenumsatz Einzahlung;"Kreditkarten-
übertrag"
Umbuchung KREDITKARTEN GELDANLAGE ||VISA-RUECKUEBERWEISUNG UEBER INTERNETBANKING VOM;"Kreditkarten-
übertrag"
Abschluss UEBERTRG.SALDO ALTE KARTE;"Kreditkarten-
abrechnung"
Visa-Kartenabrechnung SUMME MONATSABRECHNUNG VISA ;"Kreditkarten-
abrechnung"
Guthabenübertrag UEBERTRAG AUF VISA-KARTE ;"Kreditkarten-
übertrag"
Gutschrift STADTWERKE || || ;"Strom"
Übertrag/ Überweisung Auftraggeber: Buchungstext: Dienstreise;"Lohn / Gehalt"
Gutschrift BK-ABRECHNUNG GUTSCHRIFT  || ;"Miete inkl.
Nebenkosten"
Gutschrift BK Abrechnung vom || ;"Miete inkl.
Nebenkosten"
Übertrag/ Überweisung Auftraggeber: DB Vertrieb GmbHBuchungstext: Fahrschein Ref. ;"Bahnfahrten
ohne S-Bahn"
Umbuchung DEUTSCHE KREDITBANK AG || ERSTATTUNG AUSLANDSEINSATZENTGELT FUER VISA ;"Kreditkarten-
übertrag"
Steuerverrechnung Ref.;"Steuern &
Abgaben"
Kartenzahlung/-abrechnung HabenzinsenZ ;"Zinsen"
Umbuchung Zinsen || ;"Zinsen"
Kreditkartenumsatz HabenzinsenZ;"Zinsen"
Umbuchung Kapitalertrag- steuer ;"Steuern &
Abgaben"
Wechselgeld-Sparen WECHSELGELD-SPARBETRAG ;"Kreditkarten-
übertrag"
Kartenzahlung/-abrechnung Netto Marken-Discount;"Supermarkt"
Lastschrift / Belastung Auftraggeber: S-Bahn-Berlin GmbHBuchungstext: Kartenzahlung S Bahn;"Nahverkehr"
Lastschrift / Belastung Auftraggeber: DB Vertrieb GmbHBuchungstext: DB AUTOMAT///DE ;"Bahnfahrten
ohne S-Bahn"
Kartenzahlung/-abrechnung EDEKA ;"Supermarkt"
Auslandsentgelt 1.75 PROZ.AUSLANDSENTGELT ;"Kreditkarten-
übertrag"
Kartenzahlung/-abrechnung DANKE, IHR LIDL;"Supermarkt"
Lastschrift Stadtwerke||;"Strom"
Lastschrift / Belastung Auftraggeber: DB Vertrieb GmbH Buchungstext: Fahrschein Ref. ;"Bahnfahrten
ohne S-Bahn"
Kartenzahlung/-abrechnung DB AUTOMAT///DE / DB Vertrieb GmbH |||| DE43120800004084300300;"Bahnfahrten
ohne S-Bahn"
Kartenzahlung/-abrechnung BERLINER VERKEHRSBETRIEBE (BVG)//BERLIN/DE / BVG AUTOMAT  || ;"Nahverkehr"
Kartenzahlung/-abrechnung DM FIL. DM DROGERIEMARKT SAGT DANKE ||  || DE88600501017402099997;"Drogerie"
Lastschrift / Belastung Auftraggeber: Buchungstext: Kd-Nr.:,Rg-Nr.:,Mehr Infos unter:Ihre Mobilfunkr echnung. Ref. ;"Mobilfunk"
